Designator,Layer,Mid X,Mid Y,Rotation
SW4_00_01,Top,94.60379999999999mm,36.9908mm,0
SW5_00_01,Top,94.60379999999999mm,30.996399999999998mm,0
SW6_00_01,Top,100.59819999999999mm,54.999399999999994mm,0
SW7_00_01,Top,100.59819999999999mm,49.004999999999995mm,0
SW8_00_01,Top,100.59819999999999mm,43.0106mm,0
SW9_00_01,Top,100.59819999999999mm,36.9908mm,0
SW10_00_01,Top,100.59819999999999mm,30.996399999999998mm,0
SW11_00_01,Top,106.59259999999999mm,54.999399999999994mm,0
SW12_00_01,Top,106.59259999999999mm,49.004999999999995mm,0
SW13_00_01,Top,106.59259999999999mm,43.0106mm,0
SW14_00_01,Top,106.59259999999999mm,36.9908mm,0
SW15_00_01,Top,106.59259999999999mm,30.996399999999998mm,0
SW16_00_01,Top,112.6124mm,54.999399999999994mm,0
SW17_00_01,Top,112.6124mm,49.004999999999995mm,0
SW18_00_01,Top,112.6124mm,43.0106mm,0
SW19_00_01,Top,112.6124mm,36.9908mm,0
SW20_00_01,Top,112.6124mm,30.996399999999998mm,0
SW21_00_01,Top,118.60679999999999mm,54.999399999999994mm,0
SW22_00_01,Top,118.60679999999999mm,49.004999999999995mm,0
SW23_00_01,Top,118.60679999999999mm,43.0106mm,0
SW24_00_01,Top,118.60679999999999mm,36.9908mm,0
SW25_00_01,Top,118.60679999999999mm,30.996399999999998mm,0
D1_01_00,Top,5.003799999999999mm,115.9966mm,180
D2_01_00,Top,5.003799999999999mm,110.0022mm,180
D3_01_00,Top,5.003799999999999mm,104.0078mm,180
D4_01_00,Top,5.003799999999999mm,97.988mm,180
D5_01_00,Top,5.003799999999999mm,91.9936mm,180
D6_01_00,Top,10.998199999999999mm,115.9966mm,180
D7_01_00,Top,10.998199999999999mm,110.0022mm,180
D8_01_00,Top,10.998199999999999mm,104.0078mm,180
D9_01_00,Top,10.998199999999999mm,97.988mm,180
D10_01_00,Top,10.998199999999999mm,91.9936mm,180
D11_01_00,Top,16.9926mm,115.9966mm,180
D12_01_00,Top,16.9926mm,110.0022mm,180
D13_01_00,Top,16.9926mm,104.0078mm,180
D14_01_00,Top,16.9926mm,97.988mm,180
D15_01_00,Top,16.9926mm,91.9936mm,180
D16_01_00,Top,23.012399999999996mm,115.9966mm,180
D17_01_00,Top,23.012399999999996mm,110.0022mm,180
D18_01_00,Top,23.012399999999996mm,104.0078mm,180
D19_01_00,Top,23.012399999999996mm,97.988mm,180
D20_01_00,Top,23.012399999999996mm,91.9936mm,180
D21_01_00,Top,29.006800000000002mm,115.9966mm,180
D22_01_00,Top,29.006800000000002mm,110.0022mm,180
D23_01_00,Top,29.006800000000002mm,104.0078mm,180
D24_01_00,Top,29.006800000000002mm,97.988mm,180
D25_01_00,Top,29.006800000000002mm,91.9936mm,180
D26_01_00,Top,38.989mm,110.99279999999999mm,180
D27_01_00,Top,38.989mm,107.005mm,180
D28_01_00,Top,38.989mm,102.99179999999998mm,180
D29_01_00,Top,38.989mm,99.00399999999999mm,180
D30_01_00,Top,43.0022mm,110.99279999999999mm,180
D31_01_00,Top,43.0022mm,107.005mm,180
D32_01_00,Top,43.0022mm,102.99179999999998mm,180
D33_01_00,Top,43.0022mm,99.00399999999999mm,180
D34_01_00,Top,46.99mm,110.99279999999999mm,180
D35_01_00,Top,46.99mm,107.005mm,180
D36_01_00,Top,46.99mm,102.99179999999998mm,180
D37_01_00,Top,46.99mm,99.00399999999999mm,180
D38_01_00,Top,51.0032mm,110.99279999999999mm,180
D39_01_00,Top,51.0032mm,107.005mm,180
D40_01_00,Top,51.0032mm,102.99179999999998mm,180
D41_01_00,Top,51.0032mm,99.00399999999999mm,180
D42_01_00,Top,59.9948mm,107.005mm,180
D43_01_00,Top,59.9948mm,102.99179999999998mm,180
D44_01_00,Top,59.9948mm,99.00399999999999mm,180
D45_01_00,Top,64.008mm,107.005mm,180
D46_01_00,Top,64.008mm,102.99179999999998mm,180
D47_01_00,Top,64.008mm,99.00399999999999mm,180
